Line,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time_x,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time_y,RacePosition,GapToLeaderSeconds,IntervalToAheadSeconds
2,2022-08-28 13:03:44.580,0 days 01:02:44.500000,,0.0,0 days 00:00:00,10845.808308266667,0.0,1,26.0,True,1,interpolation,-0.04849514959632861,-5.0819243471688915e-06,OnTrack,-483.0354024566427,1378.9860346467885,4138.001160075399,0 days 01:02:53.502000,13,2.395,0.528
3,2022-08-28 13:03:44.722,0 days 01:02:44.642000,,0.0,0 days 00:00:00.142000,10818.0,0.0,1,26.0,True,1,car,0.0,0.0,OnTrack,-483.02177017608506,1378.991412222756,4138.000713365183,0 days 01:02:53.502000,13,2.395,0.528
4,2022-08-28 13:03:44.773,0 days 01:02:44.693000,,0.0,0 days 00:00:00.193000,10686.870989292307,0.7846163692307693,1,26.098077046153847,True,1,pos,0.051620326342323636,5.40941919823912e-06,OnTrack,-483.0,1379.0,4138.0,0 days 01:02:53.502000,13,2.395,0.528
5,2022-08-28 13:03:45.233,0 days 01:02:45.153000,,0.0,0 days 00:00:00.653000,9504.140220061538,7.861539446153847,1,26.98269243076923,True,1,pos,1.130670004108177,0.00011848565207696372,OnTrack,-484.0,1381.0,4138.0,0 days 01:02:53.502000,13,2.395,0.528
6,2022-08-28 13:03:45.242,0 days 01:02:45.162000,11,0.0,0 days 00:00:00.662000,9481.0,8.0,1,27.0,False,1,car,1.1555555555555557,0.00012109346937097888,OnTrack,-484.10865058988554,1381.1481986766998,4138.000945656796,0 days 01:02:53.502000,13,2.395,0.528
7,2022-08-28 13:03:45.402,0 days 01:02:45.322000,11,0.0,0 days 00:00:00.822000,8361.0,11.0,1,27.0,False,1,car,1.6444444444444444,0.00017232532179716224,OnTrack,-486.7722089966023,1384.6941657902105,4138.004232262121,0 days 01:02:53.502000,13,2.395,0.528
8,2022-08-28 13:03:45.413,0 days 01:02:45.333000,11,0.0,0 days 00:00:00.833000,8313.12222144,11.2750016,1,27.0,False,1,pos,1.6875187051298532,0.00017683917804743872,OnTrack,-487.0,1385.0,4138.0,0 days 01:02:53.502000,13,2.395,0.528
9,2022-08-28 13:03:45.613,0 days 01:02:45.533000,11,0.0,0 days 00:00:01.033000,7442.62222144,16.2750016,1,27.0,False,1,pos,2.744001800777866,0.00028755060405265856,OnTrack,-492.0,1392.0,4138.0,0 days 01:02:53.502000,13,2.395,0.528
10,2022-08-28 13:03:45.802,0 days 01:02:45.722000,31,0.0,0 days 00:00:01.222000,6620.0,21.0,1,27.0,False,1,car,3.977777777777778,0.00041684098110394654,OnTrack,-497.8966060893888,1401.296694565022,4138.902382377037,0 days 01:02:53.502000,13,2.395,0.528
11,2022-08-28 13:03:45.833,0 days 01:02:45.753000,31,0.017222257777777854,0 days 00:00:01.253000,6622.3250048,21.62000128,1,26.84499968,False,1,pos,4.182918510345347,0.000438338176021562,OnTrack,-499.0,1403.0,4139.0,0 days 01:02:53.502000,13,2.395,0.528
