Line,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time_x,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time_y,RacePosition,GapToLeaderSeconds,IntervalToAheadSeconds
2,2022-08-28 13:03:44.580,0 days 01:02:44.500000,,0.0,0 days 00:00:00,8730.141598933333,0.0,1,20.0,False,1,interpolation,-0.03584772552476973,-6.626092167425731e-06,OnTrack,-879.0452873923589,1976.9265695137456,4151.999764511829,,,,
3,2022-08-28 13:03:44.722,0 days 01:02:44.642000,,0.0,0 days 00:00:00.142000,8655.0,0.0,1,20.0,False,1,car,0.0,0.0,OnTrack,-879.0278487144762,1976.9548451649193,4151.99985519087,,,,
4,2022-08-28 13:03:44.773,0 days 01:02:44.693000,,0.0,0 days 00:00:00.193000,8391.270822892307,0.686539323076923,1,20.0,False,1,pos,0.03822751851266709,7.065973009135077e-06,OnTrack,-879.0,1977.0,4152.0,,,,
5,2022-08-28 13:03:45.233,0 days 01:02:45.153000,,0.0,0 days 00:00:00.653000,6012.540053661538,6.878847015384615,1,20.0,False,1,pos,0.9821124407115682,0.00018153362467679437,OnTrack,-880.0,1979.0,4152.0,,,,
6,2022-08-28 13:03:45.242,0 days 01:02:45.162000,1,0.0,0 days 00:00:00.662000,5966.0,7.0,1,20.0,False,1,car,1.011111111111111,0.0001868937377659052,OnTrack,-880.1167084700081,1979.0997243643687,4151.999808036977,,,,
7,2022-08-28 13:03:45.402,0 days 01:02:45.322000,11,0.011111111111111516,0 days 00:00:00.822000,4846.0,14.0,1,20.0,False,1,car,1.6333333333333329,0.0003019052686987699,OnTrack,-882.8082718271733,1981.7067273962916,4151.99914087454,,,,
8,2022-08-28 13:03:45.413,0 days 01:02:45.333000,11,0.011111111111111504,0 days 00:00:00.833000,4840.41746752,14.35750208,1,20.1375008,False,1,pos,1.6897216795707262,0.00031232808838587984,OnTrack,-883.0,1982.0,4152.0,,,,
9,2022-08-28 13:03:45.613,0 days 01:02:45.533000,11,0.011111111111111282,0 days 00:00:01.033000,4738.91746752,20.85750208,1,22.637500799999998,False,1,pos,3.0804338174037813,0.0005693872649094285,OnTrack,-887.0,1990.0,4152.0,,,,
10,2022-08-28 13:03:45.802,0 days 01:02:45.722000,18,0.011111111111111072,0 days 00:00:01.222000,4643.0,27.0,1,25.0,False,1,car,4.633333333333333,0.000856425149982225,OnTrack,-894.6361036677604,2000.1115700545706,4151.921522853001,,,,
11,2022-08-28 13:03:45.833,0 days 01:02:45.753000,18,0.03694449777777778,0 days 00:00:01.253000,4619.12995072,27.46500096,1,25.7750016,False,1,pos,4.878670130546731,0.0009017731938706371,OnTrack,-896.0,2002.0,4152.0,,,,
12,2022-08-28 13:03:46.002,0 days 01:02:45.922000,18,0.17777777777777803,0 days 00:00:01.422000,4489.0,30.0,1,30.0,False,1,car,6.299999999999999,0.0011644917506952554,OnTrack,-903.4732271240815,2013.5848563801235,4152.903634846351,,,,
13,2022-08-28 13:03:46.033,0 days 01:02:45.953000,18,0.1691666488888891,0 days 00:00:01.453000,4603.15773568,31.47250304,1,31.31750272,False,1,pos,6.621604847406156,0.001223937177963204,OnTrack,-905.0,2016.0,4153.0,,,,
14,2022-08-28 13:03:46.193,0 days 01:02:46.113000,18,0.12472220444444446,0 days 00:00:01.613000,5192.35773568,39.07250304,1,38.11750272,False,1,pos,8.637699724888115,0.0015965920753356966,OnTrack,-914.0,2030.0,4153.0,,,,
15,2022-08-28 13:03:46.402,0 days 01:02:46.322000,18,0.06666666666666643,0 days 00:00:01.822000,5962.0,49.0,1,47.0,False,1,car,11.744444444444445,0.0021708426463578224,OnTrack,-928.3025846357032,2051.882114746111,4153.731023653279,,,,
16,2022-08-28 13:03:46.512,0 days 01:02:46.432000,18,0.08849208888888788,0 days 00:00:01.932000,6611.7864704,52.1428608,1,50.5357184,False,1,pos,13.415598289314335,0.0024797386569123695,OnTrack,-937.0,2065.0,4154.0,,,,
17,2022-08-28 13:03:46.672,0 days 01:02:46.592000,18,0.12023812063491848,0 days 00:00:02.092000,7556.929327542857,56.71428937142857,1,55.678575542857146,False,1,pos,16.00331772363668,0.002958052614750808,OnTrack,-951.0,2086.0,4154.0,,,,
18,2022-08-28 13:03:46.682,0 days 01:02:46.602000,3,0.12222222222222001,0 days 00:00:02.102000,7616.0,57.0,1,56.0,False,1,car,16.177777777777777,0.0029902998042544834,OnTrack,-951.9090543907957,2087.381490958781,4154.02218262423,,,,
19,2022-08-28 13:03:46.872,0 days 01:02:46.792000,3,0.17514703952810293,0 days 00:00:02.292000,8732.713645154114,64.40947442282351,1,58.116992692235286,False,1,pos,19.784833245262227,0.0036570277941252558,OnTrack,-970.0,2115.0,4155.0,,,,
20,2022-08-28 13:03:47.041,0 days 01:02:46.961000,18,0.22222222222222143,0 days 00:00:02.461000,9726.0,71.0,1,60.0,False,1,car,23.258055555555554,0.004299018068516889,OnTrack,-988.1803571788694,2141.439846709488,4155.791865357563,,,,
21,2022-08-28 13:03:47.092,0 days 01:02:47.012000,18,0.29305564444444415,0 days 00:00:02.512000,9841.175144533334,72.2750016,1,60.6375008,False,1,pos,24.321573449471458,0.004495598673942582,OnTrack,-994.0,2150.0,4156.0,,,,
