Line,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time_x,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time_y,RacePosition,GapToLeaderSeconds,IntervalToAheadSeconds
2,2025-11-30 16:03:27.173,0 days 00:58:41.498000,,0.0,0 days 00:00:00,10667.483345066667,0.0,1,26.0,True,1,interpolation,0.004763804516106898,1.4450278221219e-07,OnTrack,-1878.9929547587608,419.99729433304566,136.99999982901173,0 days 00:58:45.108000,11,,0.237
3,2025-11-30 16:03:27.201,0 days 00:58:41.526000,,0.0,0 days 00:00:00.028000,10662.350011733333,0.0,1,26.0,True,1,pos,0.003649207803902865,1.1069318204629853e-07,OnTrack,-1879.0,420.0,137.0,0 days 00:58:45.108000,11,,0.237
4,2025-11-30 16:03:27.252,0 days 00:58:41.577000,,0.0,0 days 00:00:00.079000,10653.0,0.0,1,26.0,True,1,car,0.0,0.0,OnTrack,-1879.0168196688144,420.0064529335888,137.00000040821425,0 days 00:58:45.108000,11,,0.237
5,2025-11-30 16:03:27.421,0 days 00:58:41.746000,,0.0,0 days 00:00:00.248000,10689.33498624,0.0,1,26.0,True,1,pos,-0.010306755959792876,-3.12639804327924e-07,OnTrack,-1879.0,420.0,137.0,0 days 00:58:45.108000,11,,0.237
6,2025-11-30 16:03:27.452,0 days 00:58:41.777000,,0.0,0 days 00:00:00.279000,10696.0,0.0,1,26.0,True,1,car,0.0,0.0,OnTrack,-1878.951225590191,419.98128750150744,136.9999988162425,0 days 00:58:45.108000,11,,0.237
7,2025-11-30 16:03:27.732,0 days 00:58:42.057000,23,0.0,0 days 00:00:00.559000,9072.0,5.0,1,26.0,False,1,car,0.3888888888888889,1.1796354410817866e-05,OnTrack,-1878.607504175055,420.3790784095114,136.99999047410552,0 days 00:58:45.108000,11,,0.237
8,2025-11-30 16:03:27.781,0 days 00:58:42.106000,23,0.019055530666666654,0 days 00:00:00.608000,8729.000448,6.95999744,1,26.24499968,False,1,pos,0.5295751868609477,1.6063859806423296e-05,OnTrack,-1879.0,421.0,137.0,0 days 00:58:45.108000,11,,0.237
9,2025-11-30 16:03:27.921,0 days 00:58:42.246000,23,0.07349997511111106,0 days 00:00:00.748000,7749.000448,12.55999744,1,26.94499968,False,1,pos,1.061262997398952,3.21918028467555e-05,OnTrack,-1881.0,424.0,137.0,0 days 00:58:45.108000,11,,0.237
10,2025-11-30 16:03:27.932,0 days 00:58:42.257000,87,0.07777777777777772,0 days 00:00:00.759000,7672.0,13.0,1,27.0,False,1,car,1.111111111111111,3.3703869745193894e-05,OnTrack,-1881.1786223018742,424.3140227877191,136.99998788099697,0 days 00:58:45.108000,11,,0.237
11,2025-11-30 16:03:28.132,0 days 00:58:42.457000,87,0.07777777777777795,0 days 00:00:00.959000,6272.0,20.0,1,30.0,False,1,car,2.2222222222222214,6.740773949038778e-05,OnTrack,-1884.7850926511994,431.6031487285064,136.99993165064873,0 days 00:58:45.108000,11,,0.237
12,2025-11-30 16:03:28.142,0 days 00:58:42.467000,87,0.07777777777777795,0 days 00:00:00.969000,6229.9994624,20.35000448,1,30.10000128,False,1,pos,2.287978550056945,6.940235792782519e-05,OnTrack,-1885.0,432.0,137.0,0 days 00:58:45.108000,11,,0.237
